Species,Lambda,s*,L_mu
Zebrafish,42.962370136198935,13.853481028195787,8.700519809237848
Axolotl,105.45617684979808,15.446276520868294,64.97813956040723
C. elegans,6.601566293250796,5.511160095413963,13.739384796758637
Dreissena,31.11337926614305,5.364556962025315,44.6989150090417
Drosophila,23.39982280121325,14.43451002317067,3.2371734852130034
Nematostella,54.1841279180462,11.877774780180772,39.83343621055613
Sea urchin,41.80581941602971,9.422993141545799,32.514064127759724
Xenopus,73.25919847655288,15.224480231813972,25.08653795108035
